"DISTRICTCODE","Nama Kabupaten","latitude","longitude"
"3208","KABUPATEN KUNINGAN","-6.9833333","108.48333329999998"
"3209","KABUPATEN CIREBON","-6.715534","108.564003"
"3210","KABUPATEN MAJALENGKA","-6.8531026","108.22588970000001"
"3211","KABUPATEN SUMEDANG","0.6095949","110.0330554"
"3212","KABUPATEN INDRAMAYU","-6.336315","108.32510400000001"
"3213","KABUPATEN SUBANG","-6.569361","107.752403"
"3214","KABUPATEN PURWAKARTA","-6.538680599999999","107.4499404"
"3215","KABUPATEN KARAWANG","-6.3227303","107.3375791"
"3216","KABUPATEN BEKASI","-6.2333333","107.0"
"3217","KABUPATEN BANDUNG BARAT","-6.8937121","107.4321959"
"3218","KABUPATEN PANGANDARAN","-7.6151","108.4988"
"3271","KOTA BOGOR","-6.6","106.8"
"3272","KOTA SUKABUMI","-6.92405","106.922203"
"3273","KOTA BANDUNG","-6.9147444","107.6098111"
"3274","KOTA CIREBON","-6.715534","108.564003"
"3275","KOTA BEKASI","-6.2333333","107.0"
"3276","KOTA DEPOK","-6.39","106.83"
"3277","KOTA CIMAHI","-6.8802389999999995","107.5355"
"3278","KOTA TASIKMALAYA","-7.327953999999999","108.214104"
"3279","KOTA BANJAR","-7.366666700000001","108.53333329999998"
"3301","KABUPATEN CILACAP","-7.733333","109.0"
"3302","KABUPATEN BANYUMAS","-7.4832133","109.14043799999999"
"3303","KABUPATEN PURBALINGGA","-7.390747","109.3638"
"3304","KABUPATEN BANJARNEGARA","-7.402705999999999","109.68139599999999"
"3305","KABUPATEN KEBUMEN","-7.678682000000001","109.656502"
"3306","KABUPATEN PURWOREJO","-7.709731","110.008003"
"3307","KABUPATEN WONOSOBO","-7.362108999999999","109.899399"
"3308","KABUPATEN MAGELANG","-7.481253","110.213799"
"3309","KABUPATEN BOYOLALI","-7.5238190000000005","110.595901"
"3310","KABUPATEN KLATEN","-7.7116869999999995","110.595497"
"3311","KABUPATEN SUKOHARJO","-7.6808818","110.81952920000002"
"3312","KABUPATEN WONOGIRI","-7.817782000000001","110.920601"
"3313","KABUPATEN KARANGANYAR","-7.596111099999999","110.95083329999999"
"3314","KABUPATEN SRAGEN","-7.430229","111.021301"
"3315","KABUPATEN GROBOGAN","-7.0217194","110.96258540000001"
"3316","KABUPATEN BLORA","-6.95","111.41666670000001"
"3317","KABUPATEN REMBANG","-6.711239999999999","111.345299"
"3318","KABUPATEN PATI","-6.7513380000000005","111.038002"
"3319","KABUPATEN KUDUS","-6.804086999999999","110.83820300000001"
"3320","KABUPATEN JEPARA","-6.559605900000001","110.6717"
"3321","KABUPATEN DEMAK","-6.888114999999999","110.639297"
"3322","KABUPATEN SEMARANG","-6.9666667","110.41666670000001"
"3323","KABUPATEN TEMANGGUNG","-7.316669","110.174797"
"3324","KABUPATEN KENDAL","-6.9196860000000004","110.205597"
"3325","KABUPATEN BATANG","-1.7083921999999998","103.0817903"
"3326","KABUPATEN PEKALONGAN","-6.882886999999999","109.66999799999999"
"3327","KABUPATEN PEMALANG","-6.884233999999999","109.377998"
"3328","KABUPATEN TEGAL","-6.866666700000001","109.13333329999999"
"3329","KABUPATEN BREBES","-6.883333299999999","109.05"
"3371","KOTA MAGELANG","-7.481253","110.213799"
"3372","KOTA SURAKARTA","-7.5666667","110.81666670000001"
"3373","KOTA SALATIGA","-7.302328","110.4729"
"3374","KOTA SEMARANG","-6.9666667","110.41666670000001"
"3375","KOTA PEKALONGAN","-6.882886999999999","109.66999799999999"
"3376","KOTA TEGAL","-6.866666700000001","109.13333329999999"
"3401","KABUPATEN KULON PROGO","-7.8266798","110.1640846"
"3402","KABUPATEN BANTUL","-7.884611099999999","110.3341111"
"3403","KABUPATEN GUNUNG KIDUL","-8.0305091","110.61689209999999"
"3404","KABUPATEN SLEMAN","-7.716164999999999","110.335403"
"3471","KOTA YOGYAKARTA","-7.797224000000001","110.368797"
"3501","KABUPATEN PACITAN","-8.204614","111.08769"
"3502","KABUPATEN PONOROGO","-7.867827","111.466003"
"3503","KABUPATEN TRENGGALEK","-8.05","111.71666670000002"
"3504","KABUPATEN TULUNGAGUNG","-8.0666667","111.9"
"3505","KABUPATEN BLITAR","-8.101441900000001","112.16276200000001"
"3506","KABUPATEN KEDIRI","-7.809356","112.03235600000001"
"3507","KABUPATEN MALANG","-8.0495643","112.68845490000001"
"3508","KABUPATEN LUMAJANG","-8.137022","113.226601"
"3509","KABUPATEN JEMBER","-8.172357","113.70030200000001"
"3510","KABUPATEN BANYUWANGI","-8.218611099999999","114.36694440000001"
"3511","KABUPATEN BONDOWOSO","-7.917704","113.813483"
"3512","KABUPATEN SITUBONDO","-7.702534","113.955605"
"3513","KABUPATEN PROBOLINGGO","-7.753964999999999","113.210675"
"3514","KABUPATEN PASURUAN","-6.8623098","108.8001936"
"3515","KABUPATEN SIDOARJO","-7.453027799999999","112.7173389"
"3516","KABUPATEN MOJOKERTO","-7.488075","112.427027"
"3517","KABUPATEN JOMBANG","-7.546839500000001","112.2264794"
"3518","KABUPATEN NGANJUK","-7.602932000000001","111.901808"
"3519","KABUPATEN MADIUN","-7.627753","111.50548300000001"
"3520","KABUPATEN MAGETAN","-7.6493413","111.33815929999999"
"3521","KABUPATEN NGAWI","-7.3899300000000006","111.46193000000001"
"3522","KABUPATEN BOJONEGORO","0.8826809999999999","124.46695659999999"
"3523","KABUPATEN TUBAN","-8.7493146","115.17112979999999"
"3524","KABUPATEN LAMONGAN","-7.406153","109.3946794"
"3525","KABUPATEN GRESIK","-7.15665","112.6555"
"3526","KABUPATEN BANGKALAN","-7.0306912","112.7450068"
"3527","KABUPATEN SAMPANG","-7.578255599999999","109.2058436"
"3528","KABUPATEN PAMEKASAN","-7.1666667","113.46666670000002"
"3529","KABUPATEN SUMENEP","-6.925399900000001","113.90606240000001"
"3571","KOTA KEDIRI","-7.809356","112.03235600000001"
"3572","KOTA BLITAR","-8.101441900000001","112.16276200000001"
"3573","KOTA MALANG","-8.0495643","112.68845490000001"
"3574","KOTA PROBOLINGGO","-7.753964999999999","113.210675"
"3575","KOTA PASURUAN","-6.8623098","108.8001936"
"3576","KOTA MOJOKERTO","-7.488075","112.427027"
"3577","KOTA MADIUN","-7.627753","111.50548300000001"
"3578","KOTA SURABAYA","-7.289166000000001","112.734398"
"3579","KOTA BATU","-7.8671","112.5239"
"3601","KABUPATEN PANDEGLANG","-6.3148349999999995","106.103897"
"3602","KABUPATEN LEBAK","-6.564395599999999","106.25221429999999"
"3603","KABUPATEN TANGERANG","-6.2888889","106.71805559999999"
"3604","KABUPATEN SERANG","-6.12009","106.150299"
"3671","KOTA TANGERANG","-6.2888889","106.71805559999999"
"3672","KOTA CILEGON","-6.0169825","106.04050600000001"
"3673","KOTA SERANG","-6.12009","106.150299"
"3674","KOTA TANGERANG SELATAN","-6.2888889","106.71805559999999"
"5101","KABUPATEN JEMBRANA","-8.361852","114.6418"
"5102","KABUPATEN TABANAN","-8.544516","115.11979699999999"
"5103","KABUPATEN BADUNG","-8.5819296","115.1770586"
"5104","KABUPATEN GIANYAR","-8.544185","115.3255"
"5105","KABUPATEN KLUNGKUNG","-8.5389222","115.40451110000001"
"5106","KABUPATEN BANGLI","-8.454303","115.354897"
"5107","KABUPATEN KARANG ASEM","-6.3996057","108.05030420000001"
"5108","KABUPATEN BULELENG","-8.113831","115.126999"
"5171","KOTA DENPASAR","-8.65629","115.222099"
"5201","KABUPATEN LOMBOK BARAT","-8.6464599","116.1123078"
"5202","KABUPATEN LOMBOK TENGAH","-8.694623","116.27770729999999"
"5203","KABUPATEN LOMBOK TIMUR","-8.513447099999999","116.5609857"
"5204","KABUPATEN SUMBAWA","-8.6529334","117.3616476"
"5205","KABUPATEN DOMPU","-8.496631800000001","118.4747173"
"5206","KABUPATEN BIMA","-8.460566","118.727402"
"5207","KABUPATEN SUMBAWA BARAT","-8.9292907","116.89103419999999"
"5208","KABUPATEN LOMBOK UTARA","-8.3739076","116.27770729999999"
"5271","KOTA MATARAM","-8.583333300000001","116.11666670000001"
"5272","KOTA BIMA","-8.460566","118.727402"
"5301","KABUPATEN SUMBA BARAT","-9.6548326","119.3947135"
"5302","KABUPATEN SUMBA TIMUR","-9.9802103","120.3435506"
"5303","KABUPATEN KUPANG","-10.183333300000001","123.58333329999999"
"5304","KABUPATEN TIMOR TENGAH SELATAN","-9.776281599999999","124.4198243"
"5305","KABUPATEN TIMOR TENGAH UTARA","-9.452264699999999","124.597132"
"5306","KABUPATEN BELU","-9.4125796","124.9506625"
"5307","KABUPATEN ALOR","-8.2754027","124.72987649999999"
"5308","KABUPATEN LEMBATA","-8.4719075","123.4831906"
"5309","KABUPATEN FLORES TIMUR","-8.3130942","122.9663018"
"5310","KABUPATEN SIKKA","-8.6766175","122.12918429999999"
"5311","KABUPATEN ENDE","-8.854053","121.654198"
"5312","KABUPATEN NGADA","-8.7430424","120.9876321"
"5313","KABUPATEN MANGGARAI","-8.6796987","120.38966509999999"
"5314","KABUPATEN ROTE NDAO","-10.7386421","123.12390490000001"
"5315","KABUPATEN MANGGARAI BARAT","-8.668814900000001","120.0665236"
"5316","KABUPATEN SUMBA TENGAH","-9.4879226","119.69626770000002"
"5317","KABUPATEN SUMBA BARAT DAYA","-9.539139","119.13906419999999"
"5318","KABUPATEN NAGEKEO","-8.6753545","121.3084088"
"5319","KABUPATEN MANGGARAI TIMUR","-8.6206712","120.6199895"
"5320","KABUPATEN SABU RAIJUA","-10.554111599999999","121.8334868"
"5321","KABUPATEN MALAKA","-9.5309","124.9066"
"5371","KOTA KUPANG","-10.183333300000001","123.58333329999999"
"6101","KABUPATEN SAMBAS","1.361328","109.309998"
"6102","KABUPATEN BENGKAYANG","0.8209728999999999","109.477699"
"6103","KABUPATEN LANDAK","0.4237287","109.7591675"
"6104","KABUPATEN MEMPAWAH","0.3897","109.1404"
"6105","KABUPATEN SANGGAU","0.119275","110.597298"
